x,y,w,h
0.591667,0.417241,0.366667,0.072414
0.515972,0.482328,0.351389,0.078448
0.531944,0.424138,0.347222,0.086207
0.51875,0.480172,0.345833,0.084483
0.579167,0.444397,0.338889,0.081897
0.528472,0.484052,0.376389,0.076724
0.552778,0.444828,0.35,0.060345
0.415278,0.390086,0.3,0.085345
0.566667,0.411207,0.3,0.084483
0.422917,0.432759,0.2875,0.081034
0.582639,0.456897,0.304167,0.082759
0.549306,0.454741,0.293056,0.087069
0.44375,0.467241,0.315278,0.081034
0.545139,0.404741,0.293056,0.078448
0.466667,0.402155,0.327778,0.073276
0.463194,0.456034,0.304167,0.077586
0.652083,0.421983,0.318056,0.080172
0.523611,0.468534,0.288889,0.083621
0.508333,0.490517,0.283333,0.082759
0.432639,0.461638,0.281944,0.083621
0.5625,0.418103,0.266667,0.084483
0.4625,0.462931,0.283333,0.089655
0.245833,0.312931,0.283333,0.084483
0.528472,0.46681,0.281944,0.090517
0.497222,0.450862,0.286111,0.086207
0.534722,0.458621,0.288889,0.106897
0.38125,0.482328,0.256944,0.106034
0.58125,0.349138,0.304167,0.075862
0.523611,0.315086,0.308333,0.078448
0.439583,0.517241,0.309722,0.072414
0.766667,0.561207,0.3,0.072414
0.440972,0.377155,0.301389,0.087069
0.375,0.389224,0.311111,0.087069
0.602083,0.425,0.301389,0.07931
0.53125,0.480172,0.309722,0.081034
0.461111,0.492672,0.302778,0.087069
0.491667,0.569828,0.313889,0.082759
0.521528,0.446552,0.309722,0.082759
0.595833,0.351293,0.313889,0.088793
0.485417,0.440517,0.3375,0.081034
0.618056,0.335776,0.322222,0.088793
0.441667,0.506897,0.308333,0.093103
0.488889,0.49569,0.330556,0.067241
0.529861,0.477155,0.309722,0.088793
0.374306,0.461207,0.309722,0.082759
0.440278,0.407759,0.313889,0.086207
0.336806,0.544397,0.323611,0.081897
0.448611,0.521121,0.313889,0.092241
0.527083,0.439655,0.295833,0.087931
0.4875,0.468966,0.316667,0.086207
0.584722,0.506897,0.316667,0.084483
0.501389,0.440948,0.272222,0.100862
0.504167,0.475431,0.297222,0.09569
0.5125,0.4875,0.272222,0.09569
0.316667,0.340086,0.280556,0.080172
0.551389,0.376724,0.277778,0.089655
0.647917,0.494397,0.290278,0.083621
0.443056,0.35,0.3,0.077586
0.563194,0.359914,0.306944,0.088793
0.448611,0.439224,0.244444,0.109483
0.403472,0.463362,0.248611,0.090517
0.71875,0.518103,0.259722,0.087931
0.443056,0.481897,0.344444,0.07069
0.601389,0.465948,0.35,0.068103
0.624306,0.411207,0.331944,0.067241
0.388194,0.536638,0.390278,0.066379
0.7125,0.364655,0.338889,0.077586
0.335417,0.459914,0.351389,0.061207
0.396528,0.512069,0.331944,0.074138
0.569444,0.468534,0.333333,0.066379
0.494444,0.514224,0.355556,0.073276
0.515278,0.493966,0.355556,0.075862
0.456944,0.428879,0.366667,0.071552
0.509722,0.443103,0.355556,0.068966
0.580556,0.493103,0.352778,0.068966
0.433333,0.477155,0.330556,0.083621
0.426389,0.390086,0.347222,0.083621
0.44375,0.374138,0.348611,0.068966
0.457639,0.395259,0.345833,0.076724
0.540278,0.469397,0.355556,0.076724
0.480556,0.446983,0.341667,0.064655
0.511111,0.384052,0.377778,0.081897
0.470139,0.466379,0.343056,0.060345
0.473611,0.436207,0.333333,0.072414
0.434028,0.356897,0.345833,0.07069
0.524306,0.424569,0.343056,0.069828
0.439583,0.405172,0.356944,0.060345
0.481944,0.450431,0.355556,0.068103
0.363889,0.458621,0.333333,0.082759
0.629861,0.396552,0.343056,0.072414
0.591667,0.45819,0.352778,0.078448
0.552778,0.423276,0.352778,0.089655
0.320833,0.49181,0.363889,0.078448
0.445833,0.412069,0.347222,0.081034
0.509028,0.465517,0.340278,0.068966
0.555556,0.340517,0.336111,0.077586
0.498611,0.481034,0.344444,0.063793
0.516667,0.377155,0.408333,0.076724
0.445833,0.441379,0.338889,0.082759
0.504861,0.379741,0.373611,0.090517
0.353472,0.369397,0.348611,0.073276
0.439583,0.426293,0.340278,0.078448
0.445139,0.449569,0.351389,0.066379
0.513194,0.466379,0.348611,0.07069
0.519444,0.528017,0.325,0.076724
0.540278,0.518966,0.352778,0.084483
0.449306,0.459052,0.376389,0.069828
0.476389,0.421983,0.327778,0.075
0.423611,0.42931,0.366667,0.067241
0.377778,0.423707,0.355556,0.081897
0.660417,0.425,0.2625,0.081034
0.417361,0.459483,0.304167,0.089655
0.459722,0.403448,0.258333,0.087931
0.570833,0.584052,0.252778,0.093966
0.522222,0.395259,0.288889,0.085345
0.529861,0.4125,0.276389,0.080172
0.402083,0.438362,0.301389,0.090517
0.433333,0.466379,0.291667,0.077586
0.473611,0.446552,0.277778,0.07931
0.413889,0.421121,0.3,0.073276
0.458333,0.460776,0.294444,0.092241
0.359722,0.491379,0.294444,0.081034
0.325,0.372414,0.311111,0.086207
0.409028,0.477586,0.276389,0.096552
0.422222,0.523276,0.294444,0.07931
0.525,0.509914,0.280556,0.087069
0.340972,0.465086,0.301389,0.092241
0.532639,0.424138,0.298611,0.087931
0.438889,0.497414,0.313889,0.067241
0.551389,0.426293,0.269444,0.099138
0.497222,0.481034,0.383333,0.075862
0.504167,0.458621,0.372222,0.072414
0.522222,0.472414,0.358333,0.067241
0.377778,0.513362,0.375,0.075
0.511111,0.461638,0.383333,0.069828
0.518056,0.436207,0.372222,0.084483
0.534028,0.36681,0.373611,0.066379
0.429167,0.45431,0.383333,0.075862
0.506944,0.475431,0.394444,0.066379
0.418056,0.441379,0.366667,0.07069
0.528472,0.420259,0.3625,0.078448
0.499306,0.486207,0.429167,0.068966
0.505556,0.343534,0.391667,0.062931
0.497222,0.450431,0.366667,0.068103
0.539583,0.464224,0.404167,0.076724
0.490972,0.417672,0.398611,0.071552
0.5125,0.464655,0.366667,0.067241
0.575694,0.319828,0.381944,0.058621
0.579167,0.464224,0.355556,0.068103
0.377083,0.436638,0.409722,0.075
0.438194,0.437069,0.376389,0.067241
0.434028,0.447414,0.368056,0.075862
0.523611,0.545259,0.380556,0.078448
0.517361,0.484052,0.365278,0.076724
0.492361,0.446552,0.3625,0.062069
0.660417,0.512069,0.373611,0.065517
0.65625,0.586638,0.359722,0.057759
0.572917,0.428879,0.351389,0.076724
0.638194,0.411207,0.376389,0.07069
0.504861,0.474569,0.395833,0.080172
0.398611,0.511207,0.361111,0.065517
0.427778,0.54181,0.377778,0.076724
0.430556,0.411207,0.372222,0.077586
0.447917,0.481897,0.3625,0.07931
0.482639,0.492672,0.381944,0.059483
0.720139,0.43319,0.384722,0.069828
0.45625,0.437069,0.365278,0.062069
0.452778,0.464224,0.344444,0.083621
0.527083,0.4,0.390278,0.072414
0.511806,0.517672,0.356944,0.069828
0.6,0.412931,0.363889,0.07069
0.653472,0.573276,0.259722,0.091379
0.502778,0.571552,0.263889,0.096552
0.417361,0.430172,0.465278,0.056897
0.440972,0.447845,0.390278,0.073276
0.488889,0.5,0.261111,0.098276
0.714583,0.493966,0.281944,0.094828
0.549306,0.509483,0.2625,0.082759
0.566667,0.475431,0.269444,0.080172
0.408333,0.429741,0.266667,0.099138
0.377083,0.393103,0.284722,0.081034
0.398611,0.465086,0.261111,0.093966
0.485417,0.43319,0.273611,0.083621
0.760417,0.42931,0.273611,0.089655
0.406944,0.468534,0.266667,0.088793
0.507639,0.451724,0.2625,0.094828
0.496528,0.381034,0.320833,0.081034
0.466667,0.461207,0.297222,0.082759
0.435417,0.532759,0.345833,0.065517
0.563194,0.517672,0.329167,0.080172
0.472222,0.477586,0.311111,0.081034
0.4625,0.464655,0.313889,0.068966
0.550694,0.467672,0.334722,0.081897
0.556944,0.407328,0.316667,0.075
0.475,0.434052,0.333333,0.071552
0.506944,0.518966,0.322222,0.07931
0.440278,0.43319,0.319444,0.081897
0.488194,0.471983,0.331944,0.080172
0.502778,0.464224,0.330556,0.081897
0.522917,0.417241,0.323611,0.077586
0.741667,0.493534,0.311111,0.069828
0.420833,0.4625,0.319444,0.078448
0.414583,0.352586,0.3125,0.089655
0.432639,0.442672,0.304167,0.083621
0.463889,0.407759,0.327778,0.081034
0.554167,0.391379,0.305556,0.084483
0.5625,0.556034,0.325,0.077586
0.484028,0.394828,0.3125,0.074138
0.602778,0.459483,0.311111,0.067241
0.555556,0.528017,0.311111,0.090517
0.672917,0.331897,0.318056,0.081034
0.743056,0.484483,0.313889,0.075862
0.333333,0.425431,0.294444,0.083621
0.477083,0.514655,0.356944,0.082759
0.431944,0.500431,0.366667,0.081897
0.421528,0.39569,0.3625,0.063793
0.41875,0.427155,0.354167,0.075
0.510417,0.49181,0.329167,0.073276
0.450694,0.441379,0.354167,0.077586
0.476389,0.443103,0.377778,0.091379
0.533333,0.442672,0.344444,0.080172
0.488194,0.432328,0.381944,0.076724
0.526389,0.380603,0.397222,0.069828
0.468056,0.396983,0.361111,0.080172
0.458333,0.462931,0.358333,0.081034
0.490278,0.296983,0.363889,0.064655
0.492361,0.463362,0.365278,0.081897
0.664583,0.406034,0.343056,0.07931
0.678472,0.448707,0.331944,0.075
0.340278,0.400431,0.383333,0.080172
0.517361,0.484052,0.306944,0.081897
0.470139,0.46681,0.3625,0.057759
0.530556,0.532328,0.352778,0.080172
0.550694,0.419828,0.379167,0.063793
0.584722,0.390948,0.366667,0.066379
0.586111,0.315086,0.35,0.073276
0.504861,0.581897,0.348611,0.065517
0.513194,0.515086,0.351389,0.069828
0.583333,0.478017,0.361111,0.061207
0.682639,0.511638,0.356944,0.081897
0.377083,0.474569,0.376389,0.064655
0.451389,0.410776,0.363889,0.087069
0.329167,0.301293,0.369444,0.083621
0.493056,0.443534,0.35,0.068103
0.588889,0.49181,0.372222,0.078448
0.486111,0.424569,0.336111,0.078448
0.521528,0.442241,0.3375,0.082759
0.495833,0.467241,0.372222,0.072414
0.445833,0.477586,0.341667,0.072414
0.561111,0.465086,0.35,0.059483
0.398611,0.490086,0.338889,0.066379
0.469444,0.508621,0.369444,0.07069
0.481944,0.440948,0.352778,0.064655
0.566667,0.481034,0.344444,0.074138
0.385417,0.443966,0.309722,0.074138
0.422222,0.44181,0.305556,0.075
0.347917,0.476293,0.318056,0.064655
0.463889,0.48319,0.305556,0.078448
0.575,0.467672,0.305556,0.085345
0.480556,0.446121,0.311111,0.083621
0.511806,0.383621,0.301389,0.096552
0.528472,0.453448,0.3125,0.07931
0.442361,0.443103,0.318056,0.086207
0.304167,0.563362,0.330556,0.071552
0.442361,0.442241,0.340278,0.068966
0.502083,0.436638,0.354167,0.071552
0.588889,0.445259,0.361111,0.069828
0.667361,0.359914,0.343056,0.071552
0.589583,0.304741,0.401389,0.075
0.455556,0.431034,0.333333,0.075862
0.534722,0.456897,0.358333,0.077586
0.558333,0.432328,0.352778,0.076724
0.524306,0.439224,0.345833,0.078448
0.457639,0.464655,0.329167,0.067241
0.453472,0.471552,0.395833,0.077586
0.345833,0.342672,0.35,0.085345
0.501389,0.433621,0.372222,0.062069
0.432639,0.456034,0.356944,0.081034
0.472222,0.43319,0.319444,0.071552
0.547917,0.441379,0.343056,0.081034
0.472222,0.459914,0.338889,0.071552
0.491667,0.518534,0.330556,0.064655
0.51875,0.499138,0.359722,0.074138
0.511111,0.564224,0.369444,0.075
0.50625,0.455172,0.334722,0.074138
0.486111,0.489224,0.322222,0.071552
0.601389,0.346552,0.386111,0.063793
0.447917,0.417672,0.343056,0.076724
0.749306,0.451293,0.351389,0.075
0.5625,0.486207,0.355556,0.072414
0.377083,0.336207,0.334722,0.081034
0.466667,0.500431,0.336111,0.068103
0.486111,0.495259,0.341667,0.075
0.597917,0.510345,0.331944,0.081034
0.559028,0.48319,0.334722,0.078448
0.678472,0.351293,0.329167,0.083621
0.635417,0.411638,0.348611,0.057759
0.51875,0.339655,0.334722,0.07931
0.513889,0.470259,0.327778,0.069828
0.529167,0.432759,0.383333,0.072414
0.515278,0.490948,0.355556,0.085345
0.580556,0.467672,0.333333,0.073276
0.600694,0.390517,0.351389,0.072414
0.367361,0.338362,0.334722,0.083621
0.709028,0.416379,0.290278,0.077586
0.5625,0.444397,0.305556,0.073276
0.4875,0.436207,0.302778,0.087931
0.460417,0.4,0.301389,0.07931
0.683333,0.546983,0.291667,0.076724
0.530556,0.459052,0.3,0.083621
0.530556,0.514224,0.297222,0.088793
0.695833,0.459914,0.280556,0.078448
0.472917,0.461638,0.309722,0.088793
0.634028,0.493103,0.304167,0.084483
0.43125,0.325862,0.304167,0.082759
0.407639,0.460776,0.295833,0.087069
0.368056,0.510345,0.325,0.087931
0.471528,0.441379,0.293056,0.087931
0.378472,0.491379,0.3125,0.089655
0.405556,0.426724,0.308333,0.075862
0.474306,0.439224,0.295833,0.073276
0.3875,0.450431,0.313889,0.090517
0.527778,0.444397,0.233333,0.112931
0.532639,0.459914,0.356944,0.075
0.517361,0.427586,0.3875,0.068966
0.402778,0.430603,0.352778,0.069828
0.482639,0.420259,0.379167,0.069828
0.670833,0.364224,0.366667,0.069828
0.425,0.469397,0.380556,0.073276
0.448611,0.462069,0.405556,0.082759
0.4625,0.471983,0.377778,0.078448
0.498611,0.403879,0.386111,0.080172
0.450694,0.365948,0.376389,0.066379
0.447917,0.328017,0.373611,0.071552
0.467361,0.465948,0.379167,0.080172
0.513889,0.472414,0.405556,0.075862
0.547222,0.489655,0.375,0.074138
0.526389,0.496552,0.4,0.072414
0.533333,0.419828,0.375,0.075862
0.474306,0.477155,0.390278,0.069828
0.516667,0.469828,0.391667,0.060345
0.457639,0.491379,0.384722,0.068966
0.513194,0.481897,0.406944,0.062069
0.43125,0.483621,0.390278,0.074138
0.447917,0.534483,0.3625,0.072414
0.467361,0.444828,0.390278,0.081034
0.470139,0.380603,0.373611,0.081897
0.472917,0.5,0.3625,0.065517
0.486806,0.414655,0.384722,0.060345
0.496528,0.503448,0.395833,0.074138
0.5125,0.422845,0.372222,0.066379
0.425,0.4375,0.372222,0.071552
0.495139,0.483621,0.409722,0.067241
0.465972,0.490517,0.351389,0.067241
0.554861,0.392672,0.404167,0.075
0.451389,0.423276,0.4,0.063793
0.504167,0.477586,0.383333,0.081034
0.573611,0.486207,0.4,0.067241
0.552083,0.439655,0.3625,0.082759
0.614583,0.384914,0.3625,0.069828
0.393056,0.464224,0.388889,0.057759
0.508333,0.512931,0.394444,0.062069
0.636806,0.516379,0.373611,0.062069
0.370833,0.440948,0.363889,0.068103
0.493056,0.326293,0.411111,0.068103
0.514583,0.489224,0.384722,0.057759
0.528472,0.456897,0.401389,0.063793
0.576389,0.439655,0.380556,0.082759
0.548611,0.434052,0.372222,0.069828
0.527778,0.458621,0.358333,0.063793
0.547917,0.500862,0.3625,0.068966
0.429167,0.401724,0.402778,0.077586
0.474306,0.484483,0.368056,0.068966
0.56875,0.482759,0.3875,0.067241
0.434722,0.431466,0.366667,0.062931
0.4,0.434483,0.377778,0.07069
0.584722,0.373707,0.391667,0.064655
0.542361,0.442672,0.445833,0.064655
0.417361,0.478879,0.401389,0.080172
0.488194,0.437069,0.459722,0.065517
0.492361,0.502155,0.406944,0.059483
0.511111,0.442241,0.413889,0.060345
0.427778,0.406466,0.308333,0.078448
0.522222,0.472845,0.322222,0.066379
0.636806,0.403448,0.320833,0.082759
0.367361,0.459483,0.306944,0.075862
0.447222,0.451293,0.333333,0.078448
0.440972,0.435345,0.315278,0.072414
0.388194,0.451724,0.326389,0.074138
0.5375,0.378017,0.313889,0.080172
0.548611,0.371552,0.316667,0.075862
0.533333,0.431466,0.325,0.078448
0.519444,0.503448,0.372222,0.07069
0.459028,0.481466,0.326389,0.083621
0.550694,0.441379,0.343056,0.072414
0.434028,0.381466,0.331944,0.071552
0.499306,0.472414,0.326389,0.075862
0.636806,0.464224,0.326389,0.078448
0.671528,0.478017,0.309722,0.081897
0.281944,0.478017,0.311111,0.078448
0.253472,0.299138,0.3125,0.082759
0.303472,0.459052,0.318056,0.075
0.43125,0.428879,0.315278,0.088793
0.394444,0.421552,0.336111,0.077586
0.444444,0.466379,0.322222,0.077586
0.488194,0.466379,0.3125,0.07931
0.411111,0.453448,0.341667,0.07069
0.465972,0.481034,0.329167,0.077586
0.593056,0.439655,0.333333,0.087931
0.631944,0.400431,0.313889,0.080172
0.4625,0.458621,0.311111,0.096552
0.533333,0.459914,0.308333,0.083621
0.406944,0.475862,0.330556,0.093103
0.627083,0.377586,0.3125,0.072414
0.424306,0.581466,0.315278,0.069828
0.647917,0.296983,0.290278,0.080172
0.381944,0.319397,0.258333,0.093966
0.450694,0.482759,0.279167,0.081034
0.571528,0.485345,0.326389,0.075862
0.400694,0.550862,0.323611,0.07931
0.53125,0.393966,0.320833,0.074138
0.481944,0.379741,0.366667,0.076724
0.386806,0.443966,0.376389,0.07069
0.420833,0.454741,0.336111,0.075
0.545139,0.453017,0.348611,0.073276
0.515278,0.459052,0.386111,0.064655
0.461806,0.448276,0.370833,0.068966
0.402778,0.471983,0.327778,0.081897
0.485417,0.411638,0.404167,0.085345
0.427778,0.460345,0.366667,0.087931
0.502778,0.352586,0.380556,0.065517
0.454861,0.302155,0.390278,0.061207
0.513194,0.403017,0.379167,0.066379
0.522222,0.374569,0.380556,0.068103
0.534028,0.406466,0.3875,0.085345
0.56875,0.543534,0.456944,0.069828
0.531944,0.557328,0.377778,0.064655
0.534028,0.394828,0.368056,0.075862
0.579861,0.409914,0.3875,0.057759
0.302778,0.387069,0.375,0.07931
0.434722,0.50819,0.380556,0.080172
0.477083,0.426293,0.3875,0.057759
0.497222,0.4375,0.386111,0.069828
0.363889,0.453017,0.369444,0.078448
0.435417,0.488362,0.395833,0.068103
0.518056,0.469828,0.377778,0.07069
0.578472,0.467672,0.3875,0.073276
0.490278,0.446121,0.380556,0.076724
0.3125,0.351293,0.383333,0.064655
0.458333,0.436207,0.397222,0.065517
0.491667,0.446552,0.386111,0.063793
0.522222,0.412069,0.377778,0.07069
0.541667,0.478017,0.358333,0.085345
0.597222,0.497414,0.372222,0.067241
0.598611,0.545259,0.372222,0.081897
0.403472,0.427155,0.368056,0.080172
0.450694,0.444397,0.370833,0.062931
0.46875,0.415086,0.384722,0.069828
0.482639,0.445259,0.404167,0.081897
0.485417,0.440948,0.381944,0.069828
0.5,0.448707,0.402778,0.071552
0.529167,0.556466,0.391667,0.068103
0.528472,0.409914,0.373611,0.064655
0.5625,0.440517,0.375,0.07931
0.643056,0.372845,0.375,0.076724
0.377083,0.326724,0.373611,0.067241
0.451389,0.464224,0.336111,0.080172
0.489583,0.477155,0.3875,0.081897
0.502778,0.456034,0.391667,0.062069
0.524306,0.466379,0.370833,0.07931
0.370139,0.543103,0.373611,0.081034
0.5,0.348276,0.366667,0.07931
0.675694,0.373707,0.379167,0.061207
0.341667,0.391379,0.338889,0.081034
0.447917,0.463793,0.398611,0.056897
0.491667,0.486638,0.366667,0.071552
0.506944,0.482328,0.394444,0.076724
0.517361,0.504741,0.331944,0.073276
0.527778,0.488362,0.341667,0.087069
0.45625,0.443534,0.368056,0.080172
0.5375,0.369397,0.352778,0.066379
0.423611,0.518103,0.319444,0.082759
0.456944,0.481466,0.372222,0.081897
0.465278,0.478879,0.366667,0.071552
0.438194,0.508621,0.340278,0.072414
0.413889,0.447414,0.330556,0.075862
0.529167,0.499138,0.330556,0.082759
0.566667,0.452155,0.330556,0.066379
0.536806,0.456034,0.365278,0.074138
0.40625,0.446121,0.418056,0.073276
0.591667,0.473276,0.336111,0.075862
0.605556,0.432328,0.341667,0.069828
0.559028,0.487931,0.343056,0.072414
0.515278,0.477155,0.388889,0.071552
0.736111,0.486638,0.330556,0.083621
0.3625,0.517241,0.402778,0.07069
0.501389,0.463793,0.327778,0.089655
0.545833,0.435345,0.35,0.072414
0.551389,0.426293,0.361111,0.066379
0.425,0.3625,0.333333,0.080172
0.465278,0.47931,0.294444,0.087931
0.35625,0.459483,0.273611,0.082759
0.498611,0.4625,0.280556,0.09569
0.420139,0.45819,0.279167,0.081897
0.504167,0.387931,0.288889,0.091379
0.504167,0.509914,0.305556,0.080172
0.432639,0.528448,0.301389,0.091379
0.413194,0.475,0.320833,0.065517
0.747917,0.545259,0.331944,0.080172
0.381944,0.481466,0.316667,0.083621
0.496528,0.366379,0.315278,0.082759
0.438889,0.47069,0.3,0.072414
0.485417,0.453448,0.343056,0.075862
0.483333,0.405172,0.313889,0.072414
0.508333,0.471983,0.327778,0.078448
0.592361,0.490517,0.323611,0.077586
0.70625,0.289655,0.323611,0.07931
0.44375,0.390517,0.3375,0.081034
0.400694,0.45819,0.334722,0.092241
0.413889,0.471983,0.330556,0.075
0.459028,0.459483,0.323611,0.068966
0.4625,0.555603,0.338889,0.064655
0.513889,0.492672,0.325,0.087069
0.318056,0.514655,0.341667,0.075862
0.529167,0.376293,0.333333,0.076724
0.525,0.455603,0.338889,0.080172
0.566667,0.512931,0.352778,0.077586
0.578472,0.460776,0.320833,0.083621
0.409722,0.425862,0.330556,0.084483
0.475,0.424569,0.327778,0.062931
0.249306,0.389655,0.3125,0.086207
0.468056,0.500431,0.322222,0.071552
0.430556,0.442241,0.313889,0.07931
0.484722,0.578017,0.330556,0.075
0.558333,0.477155,0.333333,0.083621
0.514583,0.454741,0.3625,0.076724
0.502778,0.443103,0.330556,0.07931
0.409722,0.456897,0.322222,0.081034
0.438889,0.339224,0.372222,0.068103
0.560417,0.451293,0.3375,0.078448
0.441667,0.444828,0.316667,0.081034
0.483333,0.398707,0.344444,0.087069
